Date Vps1 Ips1 Vps2 Ips2
2019-03-20 21:50:47.773000 0.55 0.014 0.32 0.01
2019-03-20 22:10:48.375000 0.55 0.014 0.32 0.01
2019-03-20 22:30:49.697000 0.55 0.014 0.32 0.01
2019-03-20 22:50:51.079000 0.55 0.014 0.32 0.01
2019-03-20 23:10:53.021000 0.55 0.014 0.32 0.01
2019-03-20 23:30:53.973000 0.55 0.014 0.32 0.01
2019-03-20 23:50:54.775000 0.55 0.014 0.32 0.01
2019-03-21 00:10:56.297000 0.55 0.014 0.32 0.01
2019-03-21 00:30:58.269000 0.55 0.014 0.32 0.01
2019-03-21 00:50:59.191000 0.55 0.014 0.32 0.01
2019-03-21 01:11:00.143000 0.55 0.014 0.32 0.01
2019-03-21 01:31:01.895000 0.55 0.014 0.32 0.01
2019-03-21 01:51:03.207000 0.55 0.014 0.32 0.01
2019-03-21 02:11:05.019000 0.55 0.014 0.32 0.01
2019-03-21 02:31:05.651000 0.55 0.014 0.32 0.01
2019-03-21 02:51:07.093000 0.55 0.014 0.32 0.01
2019-03-21 03:11:07.595000 0.55 0.014 0.32 0.01
2019-03-21 03:31:08.407000 0.55 0.014 0.32 0.01
2019-03-21 03:51:09.939000 0.55 0.014 0.32 0.01
2019-03-21 04:11:11.401000 0.55 0.014 0.32 0.01
2019-03-21 04:31:12.173000 0.55 0.014 0.32 0.01
2019-03-21 04:51:13.345000 0.55 0.014 0.32 0.01
2019-03-21 05:11:15.138000 0.55 0.014 0.32 0.01
2019-03-21 05:31:15.960000 0.55 0.014 0.32 0.01
2019-03-21 05:51:17.142000 0.55 0.014 0.32 0.01
2019-03-21 06:11:17.954000 0.55 0.014 0.32 0.01
2019-03-21 06:31:20.096000 0.55 0.014 0.32 0.01
2019-03-21 06:51:21.038000 0.55 0.014 0.32 0.01
2019-03-21 07:11:21.380000 0.55 0.014 0.32 0.011
2019-03-21 07:31:21.942000 0.55 0.014 0.32 0.01
2019-03-21 07:51:22.064000 1.5 0.033 0.32 0.031
2019-03-21 08:11:22.676000 1.5 0.033 0.32 0.031
2019-03-21 08:31:22.917000 1.5 0.033 0.32 0.031
2019-03-21 08:51:24.119000 1.5 0.033 0.32 0.031
2019-03-21 09:11:25.011000 1.5 0.033 0.32 0.031
2019-03-21 09:31:27.455000 1.5 0.033 0.32 0.031
2019-03-21 09:51:28.347000 1.5 0.033 0.32 0.031
2019-03-21 10:11:29.231000 1.5 0.035 0.32 0.031
2019-03-21 10:31:30.862000 1.5 0.033 0.32 0.031
2019-03-21 10:51:32.504000 1.5 0.033 0.32 0.031
2019-03-21 11:11:33.956000 1.5 0.035 0.32 0.031
2019-03-21 11:31:34.477000 1.5 0.033 0.32 0.031
2019-03-21 11:51:36.819000 1.5 0.033 0.32 0.031
2019-03-21 12:11:37.491000 1.5 0.033 0.32 0.031
2019-03-21 12:31:38.053000 1.5 0.033 0.32 0.031
2019-03-21 12:51:38.734000 1.5 0.033 0.32 0.031
2019-03-21 13:11:40.856000 1.5 0.035 0.32 0.031
Date Vps1 Ips1 Vps2 Ips2
2019-03-21 15:51:22.416000 1.5 0.033 0.32 0.031
2019-03-21 15:51:41.816000 1.5 0.033 0.32 0.031
Date Vps1 Ips1 Vps2 Ips2
2019-03-21 15:52:46.600000 1.5 0.033 0.32 0.031
2019-03-21 15:53:14.870000 1.5 0.035 0.32 0.031
Date Vps1 Ips1 Vps2 Ips2
2019-03-21 15:54:16.565000 1.5 0.035 0.32 0.031
2019-03-21 15:54:19.145000 1.5 0.033 0.32 0.031
2019-03-21 15:54:50.355000 1.5 0.033 0.32 0.031
Date Vps1 Ips1 Vps2 Ips2
2019-03-21 15:55:23.515000 1.5 0.033 0.32 0.031
2019-03-21 15:55:41.625000 1.5 0.033 0.32 0.031
2019-03-21 15:56:12.565000 1.5 0.033 0.32 0.031
2019-03-21 15:56:43.915000 2.0 0.045 0.32 0.041
2019-03-21 15:56:51.745000 2.0 0.045 0.32 0.041
2019-03-21 15:56:59.535000 2.0 0.045 0.32 0.041
2019-03-21 15:57:07.455000 2.0 0.045 0.32 0.041
2019-03-21 15:57:14.175000 2.0 0.05 0.52 0.046
2019-03-21 15:57:22.025000 2.0 0.05 0.52 0.046
2019-03-21 15:57:29.835000 2.0 0.05 0.52 0.046
2019-03-21 15:57:37.695000 2.0 0.05 0.52 0.046
